ts,i,p,bp,ap,bv,av,v,to,oi,MA5,wall
1760824361312,HC2501,3005.23,3005.03,3005.43,39,11,50,150262,134000,3004.92,1760824361329
1760824361328,RB2501,2999.28,2999.08,2999.48,32,9,41,122971,136000,2999.55,1760824361360
1760824361328,HC2501,3004.57,3004.37,3004.77,21,49,70,210320,127000,3004.88,1760824361360
1760824361344,RB2501,3000.26,3000.06,3000.46,19,27,46,138012,115000,2999.68,1760824361360
1760824361344,HC2501,3005.04,3004.84,3005.24,34,15,49,147247,101000,3004.85,1760824361360
1760824361360,RB2501,3000.05,2999.85,3000.25,44,41,85,255004,102000,2999.91,1760824361392
1760824361360,HC2501,3004.62,3004.42,3004.82,44,48,92,276425,120000,3004.9,1760824361392
1760824361376,RB2501,2999.1,2998.9,2999.3,8,39,47,140958,114000,2999.79,1760824361392
1760824361376,HC2501,3005.04,3004.84,3005.24,21,21,42,126212,119000,3004.9,1760824361392
1760824361391,RB2501,2998.67,2998.47,2998.87,14,27,41,122946,137000,2999.47,1760824361407
1760824361391,HC2501,3006.02,3005.82,3006.22,27,50,77,231464,108000,3005.06,1760824361407
1760824361407,RB2501,2999.42,2999.22,2999.62,18,38,56,167968,150000,2999.5,1760824361422
1760824361407,HC2501,3006.14,3005.94,3006.34,39,32,71,213436,108000,3005.37,1760824361422
1760824361422,RB2501,2999.34,2999.14,2999.54,3,50,53,158965,109000,2999.32,1760824361422
1760824361422,HC2501,3007.11,3006.91,3007.31,3,15,18,54128.1,139000,3005.79,1760824361422
1760824361438,RB2501,2999.05,2998.85,2999.25,6,33,39,116963,114000,2999.12,1760824361454
1760824361438,HC2501,3006.98,3006.78,3007.18,38,13,51,153356,120000,3006.26,1760824361454
1760824361454,RB2501,2999.3,2999.1,2999.5,16,22,38,113974,103000,2999.16,1760824361454
1760824361454,HC2501,3006.01,3005.81,3006.21,12,34,46,138277,135000,3006.45,1760824361454
1760824361469,RB2501,2999.05,2998.85,2999.25,12,45,57,170946,145000,2999.23,1760824361485
1760824361469,HC2501,3006.86,3006.66,3007.06,18,26,44,132302,133000,3006.62,1760824361485
1760824361485,RB2501,2999.56,2999.36,2999.76,29,50,79,236966,125000,2999.26,1760824361485
1760824361485,HC2501,3007.52,3007.32,3007.72,9,21,30,90225.6,122000,3006.9,1760824361485
1760824361499,RB2501,2999.47,2999.27,2999.67,44,12,56,167970,148000,2999.29,1760824361515
1760824361499,HC2501,3006.62,3006.42,3006.82,43,47,90,270596,140000,3006.8,1760824361516
1760824361515,RB2501,2999.34,2999.14,2999.54,36,29,65,194957,111000,2999.35,1760824361516
1760824361515,HC2501,3007.02,3006.82,3007.22,42,23,65,195456,105000,3006.81,1760824361516
1760824361531,RB2501,2999.22,2999.02,2999.42,4,31,35,104973,127000,2999.33,1760824361546
1760824361531,HC2501,3006.89,3006.69,3007.09,48,33,81,243558,149000,3006.98,1760824361546
1760824361546,RB2501,2998.31,2998.11,2998.51,7,33,40,119933,141000,2999.18,1760824361546
1760824361546,HC2501,3007.2,3007,3007.4,37,3,40,120288,149000,3007.05,1760824361547
1760824361562,RB2501,2997.86,2997.66,2998.06,23,2,25,74946.6,145000,2998.84,1760824361577
1760824361562,HC2501,3007.94,3007.74,3008.14,25,30,55,165437,117000,3007.13,1760824361578
1760824361577,RB2501,2997.04,2996.84,2997.24,14,20,34,101899,107000,2998.35,1760824361578
1760824361577,HC2501,3008.89,3008.69,3009.09,16,9,25,75222.1,147000,3007.59,1760824361578
1760824361592,RB2501,2997.17,2996.97,2997.37,14,37,51,152856,117000,2997.92,1760824361608
1760824361592,HC2501,3007.92,3007.72,3008.12,11,23,34,102269,131000,3007.77,1760824361608
1760824361608,RB2501,2997.31,2997.11,2997.51,10,50,60,179838,131000,2997.54,1760824361608
1760824361608,HC2501,3008.61,3008.41,3008.81,46,20,66,198569,120000,3008.11,1760824361608
1760824361623,RB2501,2997.89,2997.69,2998.09,31,3,34,101928,140000,2997.45,1760824361639
1760824361623,HC2501,3009.14,3008.94,3009.34,3,21,24,72219.4,136000,3008.5,1760824361639
1760824361639,RB2501,2997.17,2996.97,2997.37,37,9,46,137870,147000,2997.31,1760824361639
1760824361639,HC2501,3008.95,3008.75,3009.15,9,37,46,138412,121000,3008.7,1760824361639
1760824361654,RB2501,2996.21,2996.01,2996.41,15,30,45,134829,147000,2997.15,1760824361670
1760824361654,HC2501,3008.9,3008.7,3009.1,5,18,23,69204.6,128000,3008.7,1760824361670
1760824361670,RB2501,2996.76,2996.56,2996.96,41,32,73,218763,118000,2997.07,1760824361670
1760824361670,HC2501,3008.74,3008.54,3008.94,4,28,32,96279.5,148000,3008.87,1760824361670
1760824361685,RB2501,2996.73,2996.53,2996.93,21,21,42,125863,131000,2996.95,1760824361701
1760824361685,HC2501,3007.96,3007.76,3008.16,9,46,55,165438,143000,3008.74,1760824361701
1760824361701,RB2501,2996.55,2996.35,2996.75,42,50,92,275682,104000,2996.68,1760824361701
1760824361701,HC2501,3008.34,3008.14,3008.54,40,17,57,171476,143000,3008.58,1760824361701
1760824361717,RB2501,2995.67,2995.47,2995.87,4,42,46,137801,125000,2996.38,1760824361732
1760824361717,HC2501,3008.13,3007.93,3008.33,7,40,47,141382,150000,3008.41,1760824361733
1760824361732,RB2501,2995.11,2994.91,2995.31,27,17,44,131785,144000,2996.16,1760824361733
1760824361732,HC2501,3008.22,3008.02,3008.42,8,20,28,84230.1,125000,3008.28,1760824361733
1760824361748,RB2501,2994.47,2994.27,2994.67,35,22,57,170685,131000,2995.71,1760824361764
1760824361748,HC2501,3008.89,3008.69,3009.09,41,49,90,270800,101000,3008.31,1760824361764
1760824361764,RB2501,2995.02,2994.82,2995.22,12,42,54,161731,145000,2995.36,1760824361764
1760824361764,HC2501,3009.26,3009.06,3009.46,34,40,74,222685,140000,3008.57,1760824361764
1760824361779,RB2501,2995.71,2995.51,2995.91,43,26,69,206704,112000,2995.19,1760824361794
1760824361779,HC2501,3009.33,3009.13,3009.53,13,31,44,132411,121000,3008.77,1760824361795
1760824361794,RB2501,2996.67,2996.47,2996.87,25,34,59,176804,150000,2995.39,1760824361795
1760824361794,HC2501,3008.84,3008.64,3009.04,42,11,53,159468,136000,3008.91,1760824361795
1760824361810,RB2501,2995.94,2995.74,2996.14,49,16,65,194736,150000,2995.56,1760824361825
1760824361810,HC2501,3009.59,3009.39,3009.79,40,3,43,129413,148000,3009.18,1760824361825
1760824361825,RB2501,2996.75,2996.55,2996.95,17,25,42,125863,141000,2996.02,1760824361825
1760824361825,HC2501,3009.39,3009.19,3009.59,33,7,40,120376,115000,3009.28,1760824361825
1760824361841,RB2501,2996.19,2995.99,2996.39,6,42,48,143817,121000,2996.25,1760824361856
1760824361841,HC2501,3009.18,3008.98,3009.38,20,16,36,108330,146000,3009.27,1760824361856
1760824361856,RB2501,2995.71,2995.51,2995.91,15,32,47,140799,107000,2996.25,1760824361856
1760824361856,HC2501,3009.74,3009.54,3009.94,13,26,39,117380,102000,3009.35,1760824361856
1760824361871,RB2501,2996.32,2996.12,2996.52,32,35,67,200753,103000,2996.18,1760824361887
1760824361871,HC2501,3010.33,3010.13,3010.53,30,41,71,213733,107000,3009.65,1760824361887
1760824361887,RB2501,2996.55,2996.35,2996.75,13,48,61,182789,142000,2996.3,1760824361887
1760824361887,HC2501,3009.69,3009.49,3009.89,13,45,58,174562,122000,3009.67,1760824361887
1760824361903,RB2501,2996.43,2996.23,2996.63,27,45,72,215743,116000,2996.24,1760824361918
1760824361903,HC2501,3008.88,3008.68,3009.08,43,20,63,189560,131000,3009.56,1760824361918
1760824361918,RB2501,2996.02,2995.82,2996.22,47,21,68,203730,149000,2996.21,1760824361918
1760824361918,HC2501,3009.35,3009.15,3009.55,3,13,16,48149.6,106000,3009.6,1760824361918
1760824361934,RB2501,2996.65,2996.45,2996.85,8,20,28,83906.2,148000,2996.39,1760824361965
1760824361934,HC2501,3009.27,3009.07,3009.47,38,39,77,231714,146000,3009.51,1760824361965
1760824361949,RB2501,2995.88,2995.68,2996.08,45,30,75,224691,150000,2996.31,1760824361965
1760824361949,HC2501,3008.4,3008.2,3008.6,50,6,56,168470,129000,3009.12,1760824361965
1760824361965,RB2501,2996.11,2995.91,2996.31,10,7,17,50933.8,102000,2996.22,1760824361980
1760824361965,HC2501,3009.35,3009.15,3009.55,36,23,59,177551,111000,3009.05,1760824361981
1760824361980,RB2501,2996.18,2995.98,2996.38,13,3,16,47938.9,116000,2996.17,1760824361981
1760824361980,HC2501,3009.7,3009.5,3009.9,26,13,39,117378,145000,3009.21,1760824361981
1760824361996,RB2501,2997,2996.8,2997.2,22,27,49,146853,104000,2996.36,1760824362011
1760824361996,HC2501,3009.41,3009.21,3009.61,6,33,39,117367,140000,3009.23,1760824362012
1760824362011,RB2501,2996.4,2996.2,2996.6,16,18,34,101877,111000,2996.31,1760824362012
1760824362011,HC2501,3010.19,3009.99,3010.39,6,26,32,96326.2,148000,3009.41,1760824362012
1760824362027,RB2501,2997.23,2997.03,2997.43,18,3,21,62941.8,108000,2996.58,1760824362043
1760824362027,HC2501,3010.22,3010.02,3010.42,24,16,40,120409,119000,3009.77,1760824362043
1760824362042,RB2501,2996.64,2996.44,2996.84,13,43,56,167812,131000,2996.69,1760824362043
1760824362042,HC2501,3010.54,3010.34,3010.74,2,27,29,87305.5,135000,3010.01,1760824362043
1760824362058,RB2501,2997.24,2997.04,2997.44,40,20,60,179835,115000,2996.9,1760824362073
1760824362058,HC2501,3011.05,3010.85,3011.25,3,50,53,159586,103000,3010.28,1760824362074
1760824362073,RB2501,2997.59,2997.39,2997.79,18,17,35,104916,110000,2997.02,1760824362074
1760824362073,HC2501,3011.4,3011.2,3011.6,6,11,17,51193.8,133000,3010.68,1760824362074
1760824362089,RB2501,2997.63,2997.43,2997.83,37,20,57,170865,127000,2997.27,1760824362105
1760824362089,HC2501,3011.92,3011.72,3012.12,38,4,42,126501,148000,3011.03,1760824362105
1760824362105,RB2501,2997.49,2997.29,2997.69,29,26,55,164862,110000,2997.32,1760824362105
1760824362105,HC2501,3011.32,3011.12,3011.52,19,44,63,189713,134000,3011.25,1760824362105
1760824362120,RB2501,2998.25,2998.05,2998.45,18,38,56,167902,147000,2997.64,1760824362136
1760824362120,HC2501,3012.16,3011.96,3012.36,19,17,36,108438,138000,3011.57,1760824362136
1760824362136,RB2501,2998.67,2998.47,2998.87,42,19,61,182919,130000,2997.92,1760824362136
1760824362136,HC2501,3011.73,3011.53,3011.93,4,46,50,150587,103000,3011.71,1760824362136
1760824362152,RB2501,2999.3,2999.1,2999.5,34,50,84,251941,117000,2998.27,1760824362167
1760824362152,HC2501,3011.9,3011.7,3012.1,10,11,21,63250,103000,3011.81,1760824362167
1760824362167,RB2501,2998.7,2998.5,2998.9,3,50,53,158931,112000,2998.48,1760824362167
1760824362167,HC2501,3012.74,3012.54,3012.94,25,15,40,120510,134000,3011.97,1760824362167
1760824362182,RB2501,2999.01,2998.81,2999.21,24,38,62,185939,106000,2998.79,1760824362198
1760824362182,HC2501,3012.01,3011.81,3012.21,34,2,36,108432,113000,3012.11,1760824362198
1760824362198,RB2501,2998.56,2998.36,2998.76,46,21,67,200903,117000,2998.85,1760824362198
1760824362198,HC2501,3011.73,3011.53,3011.93,23,46,69,207809,132000,3012.02,1760824362198
1760824362213,RB2501,2997.61,2997.41,2997.81,26,34,60,179857,124000,2998.64,1760824362228
1760824362213,HC2501,3012.07,3011.87,3012.27,40,42,82,246989,130000,3012.09,1760824362229
1760824362228,RB2501,2998.48,2998.28,2998.68,26,33,59,176910,131000,2998.47,1760824362229
1760824362228,HC2501,3011.11,3010.91,3011.31,50,22,72,216800,123000,3011.93,1760824362229
1760824362244,RB2501,2998.13,2997.93,2998.33,9,2,11,32979.4,124000,2998.36,1760824362260
1760824362244,HC2501,3011.79,3011.59,3011.99,31,34,65,195766,101000,3011.74,1760824362260
1760824362260,RB2501,2998.85,2998.65,2999.05,18,28,46,137947,142000,2998.33,1760824362260
1760824362260,HC2501,3012.56,3012.36,3012.76,37,14,51,153641,140000,3011.85,1760824362260
1760824362275,RB2501,2998.77,2998.57,2998.97,6,14,20,59975.5,111000,2998.37,1760824362291
1760824362275,HC2501,3012.35,3012.15,3012.55,32,29,61,183754,125000,3011.98,1760824362291
1760824362291,RB2501,2999.49,2999.29,2999.69,17,32,49,146975,141000,2998.74,1760824362291
1760824362291,HC2501,3013.2,3013,3013.4,39,13,52,156686,127000,3012.2,1760824362291
1760824362306,RB2501,2999.08,2998.88,2999.28,11,41,52,155952,112000,2998.86,1760824362337
1760824362306,HC2501,3012.61,3012.41,3012.81,40,11,51,153643,112000,3012.5,1760824362337
1760824362321,RB2501,2999.01,2998.81,2999.21,36,41,77,230924,116000,2999.04,1760824362337
1760824362321,HC2501,3011.73,3011.53,3011.93,44,4,48,144563,135000,3012.49,1760824362337
1760824362337,RB2501,2999.39,2999.19,2999.59,6,16,22,65986.5,101000,2999.15,1760824362353
1760824362337,HC2501,3011.03,3010.83,3011.23,20,24,44,132485,104000,3012.18,1760824362353
1760824362353,RB2501,2999.78,2999.58,2999.98,9,27,36,107992,108000,2999.35,1760824362353
1760824362353,HC2501,3011.9,3011.7,3012.1,26,28,54,162643,128000,3012.09,1760824362353
1760824362369,RB2501,2998.92,2998.72,2999.12,45,38,83,248910,130000,2999.23,1760824362384
1760824362369,HC2501,3012.04,3011.84,3012.24,47,42,89,268071,101000,3011.86,1760824362384
1760824362384,RB2501,2999.27,2999.07,2999.47,19,7,26,77981.1,132000,2999.27,1760824362384
1760824362384,HC2501,3011.14,3010.94,3011.34,40,9,49,147546,110000,3011.57,1760824362384
1760824362400,RB2501,2999.21,2999.01,2999.41,30,13,43,128966,135000,2999.31,1760824362415
1760824362400,HC2501,3011.76,3011.56,3011.96,36,15,51,153600,127000,3011.57,1760824362415
1760824362415,RB2501,2999.95,2999.75,3000.15,3,20,23,68998.9,126000,2999.42,1760824362415
1760824362415,HC2501,3011.92,3011.72,3012.12,38,28,66,198787,132000,3011.75,1760824362415
1760824362430,RB2501,2998.98,2998.78,2999.18,21,28,49,146950,103000,2999.26,1760824362446
1760824362430,HC2501,3012.83,3012.63,3013.03,28,17,45,135577,125000,3011.94,1760824362446
1760824362446,RB2501,2998.58,2998.38,2998.78,43,17,60,179915,138000,2999.2,1760824362446
1760824362446,HC2501,3013.54,3013.34,3013.74,41,40,81,244096,140000,3012.24,1760824362446
1760824362461,RB2501,2998.29,2998.09,2998.49,13,49,62,185894,104000,2999,1760824362476
1760824362461,HC2501,3014.37,3014.17,3014.57,22,25,47,141676,129000,3012.88,1760824362476
1760824362476,RB2501,2998.56,2998.36,2998.76,37,44,81,242884,145000,2998.87,1760824362476
1760824362476,HC2501,3014.52,3014.32,3014.72,18,13,31,93450,113000,3013.44,1760824362476
1760824362491,RB2501,2997.88,2997.68,2998.08,28,32,60,179873,138000,2998.46,1760824362523
1760824362491,HC2501,3014.06,3013.86,3014.26,39,37,76,229069,104000,3013.86,1760824362523
1760824362507,RB2501,2998.77,2998.57,2998.97,44,47,91,272888,129000,2998.41,1760824362523
1760824362507,HC2501,3015.01,3014.81,3015.21,24,29,53,159796,116000,3014.3,1760824362523
1760824362523,RB2501,2999.25,2999.05,2999.45,32,30,62,185954,148000,2998.55,1760824362538
1760824362523,HC2501,3014.27,3014.07,3014.47,46,34,80,241142,107000,3014.45,1760824362538
1760824362538,RB2501,2999.07,2998.87,2999.27,30,3,33,98969.2,120000,2998.71,1760824362538
1760824362538,HC2501,3014.13,3013.93,3014.33,36,39,75,226060,117000,3014.4,1760824362538
1760824362554,RB2501,2999.49,2999.29,2999.69,1,43,44,131978,148000,2998.89,1760824362586
1760824362554,HC2501,3014.63,3014.43,3014.83,35,16,51,153746,148000,3014.42,1760824362586
1760824362570,RB2501,3000.43,3000.23,3000.63,43,11,54,162023,103000,2999.4,1760824362586
1760824362570,HC2501,3015.15,3014.95,3015.35,30,10,40,120606,131000,3014.64,1760824362586
1760824362586,RB2501,2999.62,2999.42,2999.82,18,17,35,104987,133000,2999.57,1760824362617
1760824362586,HC2501,3015.29,3015.09,3015.49,35,13,48,144734,149000,3014.69,1760824362617
1760824362601,RB2501,2999.95,2999.75,3000.15,46,8,54,161997,121000,2999.71,1760824362617
1760824362601,HC2501,3015.79,3015.59,3015.99,33,4,37,111584,144000,3015,1760824362618
1760824362617,RB2501,2999.45,2999.25,2999.65,12,44,56,167969,137000,2999.79,1760824362618
1760824362617,HC2501,3015.96,3015.76,3016.16,33,18,51,153814,112000,3015.36,1760824362618
1760824362633,RB2501,2998.46,2998.26,2998.66,27,21,48,143926,132000,2999.58,1760824362648
1760824362633,HC2501,3016.13,3015.93,3016.33,20,23,43,129694,117000,3015.66,1760824362648
1760824362648,RB2501,2998.74,2998.54,2998.94,43,46,89,266888,108000,2999.24,1760824362648
1760824362648,HC2501,3015.92,3015.72,3016.12,34,13,47,141748,118000,3015.82,1760824362648
1760824362663,RB2501,2998.49,2998.29,2998.69,48,48,96,287855,121000,2999.02,1760824362694
1760824362663,HC2501,3015.46,3015.26,3015.66,12,9,21,63324.6,141000,3015.85,1760824362694
1760824362678,RB2501,2999.16,2998.96,2999.36,12,20,32,95973.1,120000,2998.86,1760824362694
1760824362678,HC2501,3014.67,3014.47,3014.87,24,24,48,144704,138000,3015.63,1760824362694
1760824362694,RB2501,2999.36,2999.16,2999.56,40,5,45,134971,147000,2998.84,1760824362694
1760824362694,HC2501,3013.72,3013.52,3013.92,4,13,17,51233.2,109000,3015.18,1760824362694
1760824362710,RB2501,3000.13,2999.93,3000.33,15,7,22,66002.8,130000,2999.18,1760824362710
1760824362710,HC2501,3012.94,3012.74,3013.14,41,28,69,207893,140000,3014.54,1760824362710
1760824362725,RB2501,3000.6,3000.4,3000.8,37,32,69,207042,135000,2999.55,1760824362757
1760824362725,HC2501,3012.84,3012.64,3013.04,37,3,40,120514,139000,3013.92,1760824362757
1760824362741,RB2501,3000.95,3000.75,3001.15,15,8,23,69021.9,109000,3000.04,1760824362757
1760824362741,HC2501,3013.35,3013.15,3013.55,46,1,47,141628,109000,3013.5,1760824362757
1760824362757,RB2501,3001.8,3001.6,3002,45,23,68,204123,139000,3000.57,1760824362788
1760824362757,HC2501,3013.71,3013.51,3013.91,15,47,62,186850,117000,3013.31,1760824362788
1760824362773,RB2501,3002.26,3002.06,3002.46,14,32,46,138104,130000,3001.15,1760824362788
1760824362773,HC2501,3013.53,3013.33,3013.73,40,29,69,207934,127000,3013.28,1760824362788
1760824362788,RB2501,3001.39,3001.19,3001.59,49,33,82,246114,131000,3001.4,1760824362803
1760824362788,HC2501,3012.68,3012.48,3012.88,48,36,84,253065,125000,3013.22,1760824362803
1760824362803,RB2501,3002.12,3001.92,3002.32,39,42,81,243172,135000,3001.71,1760824362803
1760824362803,HC2501,3012.43,3012.23,3012.63,46,7,53,159659,112000,3013.14,1760824362803
1760824362818,RB2501,3002,3001.8,3002.2,40,5,45,135090,142000,3001.92,1760824362834
1760824362818,HC2501,3011.81,3011.61,3012.01,42,41,83,249980,129000,3012.83,1760824362834
1760824362834,RB2501,3001.21,3001.01,3001.41,37,4,41,123050,144000,3001.8,1760824362835
1760824362834,HC2501,3012.22,3012.02,3012.42,31,50,81,243990,116000,3012.54,1760824362835
1760824362850,RB2501,3001.76,3001.56,3001.96,19,39,58,174102,130000,3001.7,1760824362865
1760824362850,HC2501,3011.75,3011.55,3011.95,17,37,54,162635,117000,3012.18,1760824362865
1760824362865,RB2501,3002.14,3001.94,3002.34,12,46,58,174124,129000,3001.85,1760824362865
1760824362865,HC2501,3011.43,3011.23,3011.63,13,39,52,156594,129000,3011.93,1760824362865
1760824362880,RB2501,3002.41,3002.21,3002.61,48,33,81,243195,137000,3001.9,1760824362896
1760824362880,HC2501,3011.54,3011.34,3011.74,47,40,87,262004,145000,3011.75,1760824362896
1760824362896,RB2501,3003.26,3003.06,3003.46,49,14,63,189205,128000,3002.15,1760824362927
1760824362896,HC2501,3010.77,3010.57,3010.97,9,7,16,48172.3,130000,3011.54,1760824362927
1760824362911,RB2501,3002.86,3002.66,3003.06,21,5,26,78074.3,104000,3002.48,1760824362927
1760824362911,HC2501,3010.63,3010.43,3010.83,17,32,49,147521,132000,3011.23,1760824362927
1760824362927,RB2501,3002.6,3002.4,3002.8,21,18,39,117101,115000,3002.65,1760824362927
1760824362927,HC2501,3011.07,3010.87,3011.27,19,24,43,129476,114000,3011.09,1760824362927
1760824362943,RB2501,3003.42,3003.22,3003.62,30,9,39,117133,146000,3002.91,1760824362974
1760824362943,HC2501,3011.46,3011.26,3011.66,2,8,10,30114.6,133000,3011.09,1760824362974
1760824362958,RB2501,3003.14,3002.94,3003.34,48,19,67,201210,114000,3003.06,1760824362974
1760824362958,HC2501,3011.37,3011.17,3011.57,12,26,38,114432,128000,3011.06,1760824362974
1760824362974,RB2501,3003.04,3002.84,3003.24,9,9,18,54054.7,104000,3003.01,1760824363005
1760824362974,HC2501,3010.75,3010.55,3010.95,36,23,59,177634,123000,3011.05,1760824363005
1760824362990,RB2501,3003.35,3003.15,3003.55,23,15,38,114127,135000,3003.11,1760824363005
1760824362990,HC2501,3010.09,3009.89,3010.29,8,37,45,135454,107000,3010.95,1760824363005
1760824363005,RB2501,3004.12,3003.92,3004.32,23,37,60,180247,141000,3003.41,1760824363005
1760824363005,HC2501,3010.28,3010.08,3010.48,23,32,55,165566,145000,3010.79,1760824363006
1760824363021,RB2501,3004.85,3004.65,3005.05,41,33,74,222359,125000,3003.7,1760824363037
1760824363021,HC2501,3010.71,3010.51,3010.91,36,3,39,117418,114000,3010.64,1760824363037
1760824363037,RB2501,3005.84,3005.64,3006.04,3,36,39,117228,143000,3004.24,1760824363068
1760824363037,HC2501,3011.59,3011.39,3011.79,25,40,65,195753,122000,3010.68,1760824363068
1760824363053,RB2501,3006.57,3006.37,3006.77,20,46,66,198433,130000,3004.94,1760824363068
1760824363053,HC2501,3010.99,3010.79,3011.19,40,2,42,126462,139000,3010.73,1760824363068
1760824363068,RB2501,3007.12,3006.92,3007.32,12,25,37,111263,132000,3005.7,1760824363083
1760824363068,HC2501,3011.88,3011.68,3012.08,44,16,60,180713,110000,3011.09,1760824363084
1760824363083,RB2501,3007.68,3007.48,3007.88,8,25,33,99253.3,143000,3006.41,1760824363084
1760824363083,HC2501,3011.62,3011.42,3011.82,48,43,91,274057,106000,3011.36,1760824363084
1760824363099,RB2501,3008.28,3008.08,3008.48,11,49,60,180497,135000,3007.1,1760824363131
1760824363099,HC2501,3010.94,3010.74,3011.14,33,45,78,234853,143000,3011.4,1760824363131
1760824363115,RB2501,3008.01,3007.81,3008.21,6,7,13,39104.2,117000,3007.53,1760824363131
1760824363115,HC2501,3010.53,3010.33,3010.73,10,16,26,78273.8,125000,3011.19,1760824363131
1760824363131,RB2501,3008.93,3008.73,3009.13,38,9,47,141419,136000,3008,1760824363146
1760824363131,HC2501,3011.15,3010.95,3011.35,24,36,60,180669,138000,3011.22,1760824363146
1760824363146,RB2501,3009.1,3008.9,3009.3,43,27,70,210637,133000,3008.4,1760824363146
1760824363146,HC2501,3010.66,3010.46,3010.86,45,18,63,189672,113000,3010.98,1760824363146
1760824363161,RB2501,3009.01,3008.81,3009.21,49,33,82,246739,107000,3008.67,1760824363177
1760824363161,HC2501,3010.93,3010.73,3011.13,34,24,58,174634,139000,3010.84,1760824363177
1760824363176,RB2501,3008.47,3008.27,3008.67,40,7,47,141398,109000,3008.7,1760824363177
1760824363176,HC2501,3010.97,3010.77,3011.17,30,31,61,183669,127000,3010.85,1760824363177
1760824363192,RB2501,3009.08,3008.88,3009.28,33,35,68,204618,140000,3008.92,1760824363207
1760824363192,HC2501,3011.37,3011.17,3011.57,2,6,8,24090.9,127000,3011.01,1760824363207
1760824363207,RB2501,3008.39,3008.19,3008.59,2,19,21,63176.3,125000,3008.81,1760824363207
1760824363207,HC2501,3010.58,3010.38,3010.78,11,12,23,69243.4,109000,3010.9,1760824363207
1760824363222,RB2501,3008.64,3008.44,3008.84,37,23,60,180518,117000,3008.72,1760824363238
1760824363222,HC2501,3011.56,3011.36,3011.76,32,9,41,123474,140000,3011.08,1760824363238
1760824363238,RB2501,3009.09,3008.89,3009.29,23,16,39,117355,135000,3008.74,1760824363238
1760824363238,HC2501,3010.62,3010.42,3010.82,22,46,68,204722,109000,3011.02,1760824363238
1760824363253,RB2501,3010.06,3009.86,3010.26,11,35,46,138463,136000,3009.05,1760824363269
1760824363253,HC2501,3009.76,3009.56,3009.96,45,24,69,207674,133000,3010.78,1760824363269
1760824363269,RB2501,3009.39,3009.19,3009.59,22,5,27,81253.5,142000,3009.11,1760824363269
1760824363269,HC2501,3008.87,3008.67,3009.07,48,21,69,207612,115000,3010.28,1760824363269
1760824363284,RB2501,3008.39,3008.19,3008.59,7,33,40,120336,111000,3009.11,1760824363300
1760824363284,HC2501,3008.83,3008.63,3009.03,24,45,69,207609,140000,3009.93,1760824363300
1760824363300,RB2501,3007.52,3007.32,3007.72,22,18,40,120301,135000,3008.89,1760824363300
1760824363300,HC2501,3007.92,3007.72,3008.12,11,29,40,120317,113000,3009.2,1760824363300
1760824363315,RB2501,3006.92,3006.72,3007.12,38,24,62,186429,120000,3008.46,1760824363331
1760824363315,HC2501,3007.13,3006.93,3007.33,44,8,52,156371,149000,3008.5,1760824363331
1760824363331,RB2501,3006.43,3006.23,3006.63,37,44,81,243521,109000,3007.73,1760824363331
1760824363331,HC2501,3006.29,3006.09,3006.49,39,32,71,213447,102000,3007.81,1760824363331
1760824363346,RB2501,3006.44,3006.24,3006.64,16,47,63,189406,117000,3007.14,1760824363362
1760824363346,HC2501,3005.91,3005.71,3006.11,27,48,75,225443,107000,3007.22,1760824363362
1760824363362,RB2501,3007.31,3007.11,3007.51,10,24,34,102249,143000,3006.92,1760824363362
1760824363362,HC2501,3006.22,3006.02,3006.42,24,31,55,165342,103000,3006.69,1760824363362
1760824363377,RB2501,3007.76,3007.56,3007.96,50,11,61,183473,145000,3006.97,1760824363393
1760824363377,HC2501,3007.07,3006.87,3007.27,35,50,85,255601,144000,3006.52,1760824363393
1760824363393,RB2501,3007.43,3007.23,3007.63,49,10,59,177438,144000,3007.07,1760824363424
1760824363393,HC2501,3006.71,3006.51,3006.91,46,25,71,213476,140000,3006.44,1760824363424
1760824363408,RB2501,3006.58,3006.38,3006.78,2,40,42,126276,102000,3007.1,1760824363424
1760824363408,HC2501,3006.29,3006.09,3006.49,2,31,33,99207.6,148000,3006.44,1760824363424
1760824363424,RB2501,3006.14,3005.94,3006.34,33,28,61,183374,127000,3007.04,1760824363424
1760824363424,HC2501,3005.92,3005.72,3006.12,15,27,42,126249,124000,3006.44,1760824363424
1760824363439,RB2501,3006.8,3006.6,3007,49,14,63,189428,148000,3006.94,1760824363455
1760824363439,HC2501,3006.5,3006.3,3006.7,13,13,26,78168.9,130000,3006.5,1760824363456
1760824363455,RB2501,3006.48,3006.28,3006.68,11,27,38,114246,127000,3006.68,1760824363456
1760824363455,HC2501,3006.65,3006.45,3006.85,42,21,63,189419,112000,3006.41,1760824363456
1760824363471,RB2501,3007.13,3006.93,3007.33,39,46,85,255606,147000,3006.62,1760824363486
1760824363471,HC2501,3006.7,3006.5,3006.9,27,14,41,123275,133000,3006.41,1760824363486
1760824363486,RB2501,3006.53,3006.33,3006.73,50,23,73,219477,135000,3006.61,1760824363486
1760824363486,HC2501,3006.21,3006.01,3006.41,10,15,25,75155.4,111000,3006.4,1760824363486
1760824363501,RB2501,3005.81,3005.61,3006.01,36,5,41,123238,104000,3006.55,1760824363517
1760824363501,HC2501,3005.98,3005.78,3006.18,49,6,55,165329,121000,3006.41,1760824363517
